"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"The Guardians of the Galaxy Holiday Special","2022","","","","2023-05-24","","",""
"The Dark Knight","2008","4","yes","79","2023-05-21","81","",""
"Guardians of the Galaxy Vol. 3","2023","2.5","","49","2023-05-18","","",""
"American Hustle","2013","3","","60","2023-05-13","","",""
"Anima","2019","","","","2023-05-10","","",""
"The Driver","1978","2.5","","48","2023-05-10","","",""
"Blue Jasmine","2013","3.5","","64","2023-05-08","","",""
"Vicky Cristina Barcelona","2008","3.5","","65","2023-05-07","","",""
"Magic Mike XXL","2015","3","","51","2023-05-06","","",""
"Magic Mike","2012","2.5","","48","2023-05-06","","",""
"Bringing Out the Dead","1999","","","","2023-05-04","","",""
"School of Rock","2003","3","","58","2023-05-03","","",""
"Bodies Bodies Bodies","2022","1.5","","28","2023-05-01","","",""
"The Last Boy Scout","1991","2","","40","2023-04-30","","",""
"Cutter's Way","1981","4","","76","2023-04-30","","",""
"Nocturnal Animals","2016","4","yes","76","2023-04-27","82","",""
"Sunshine","2007","3","yes","52","2023-04-23","40","",""
"Capernaum","2018","3","","51","2023-04-23","","",""
"The Whale","2022","2.5","","41","2023-04-18","","",""
"The Panic in Needle Park","1971","","","","2023-04-16","","",""
"Deliverance","1972","3","","53","2023-04-16","","",""
"We Need to Talk About Kevin","2011","2.5","","48","2023-04-12","","",""
"Dead Man Walking","1995","3.5","","63","2023-04-11","","",""
"The Past","2013","3.5","","66","2023-04-07","","",""
"A Hero","2021","4","","77","2023-03-30","","",""
"About Elly","2009","4.5","","85","2023-03-29","","",""
"The Salesman","2016","4.5","","84","2023-03-26","","",""
